ALU Testbench Log
PASS at time 10000:  ADD correct. a=01, b=01, out=02
PASS at time 680000:  SUB correct. a=01, b=08, out=f9
PASS at time 690000:  SUB correct. a=01, b=10, out=f1
PASS at time 700000:  SUB correct. a=01, b=20, out=e1
PASS at time 710000:  SUB correct. a=01, b=40, out=c1
PASS at time 720000:  SUB correct. a=01, b=80, out=81
PASS at time 730000:  SUB correct. a=02, b=01, out=01
PASS at time 740000:  SUB correct. a=02, b=02, out=00
PASS at time 750000:  SUB correct. a=02, b=04, out=fe
PASS at time 760000:  SUB correct. a=02, b=08, out=fa
PASS at time 770000:  SUB correct. a=02, b=10, out=f2
PASS at time 780000:  SUB correct. a=02, b=20, out=e2
PASS at time 790000:  SUB correct. a=02, b=40, out=c2
PASS at time 800000:  SUB correct. a=02, b=80, out=82
PASS at time 810000:  SUB correct. a=04, b=01, out=03
PASS at time 820000:  SUB correct. a=04, b=02, out=02
PASS at time 830000:  SUB correct. a=04, b=04, out=00
PASS at time 840000:  SUB correct. a=04, b=08, out=fc
PASS at time 850000:  SUB correct. a=04, b=10, out=f4
PASS at time 860000:  SUB correct. a=04, b=20, out=e4
PASS at time 870000:  SUB correct. a=04, b=40, out=c4
PASS at time 880000:  SUB correct. a=04, b=80, out=84
PASS at time 890000:  SUB correct. a=08, b=01, out=07
PASS at time 900000:  SUB correct. a=08, b=02, out=06
PASS at time 910000:  SUB correct. a=08, b=04, out=04
PASS at time 920000:  SUB correct. a=08, b=08, out=00
PASS at time 930000:  SUB correct. a=08, b=10, out=f8
PASS at time 940000:  SUB correct. a=08, b=20, out=e8
PASS at time 950000:  SUB correct. a=08, b=40, out=c8
PASS at time 960000:  SUB correct. a=08, b=80, out=88
PASS at time 970000:  SUB correct. a=10, b=01, out=0f
PASS at time 980000:  SUB correct. a=10, b=02, out=0e
PASS at time 990000:  SUB correct. a=10, b=04, out=0c
PASS at time 1000000:  SUB correct. a=10, b=08, out=08
PASS at time 1010000:  SUB correct. a=10, b=10, out=00
PASS at time 1020000:  SUB correct. a=10, b=20, out=f0
PASS at time 1030000:  SUB correct. a=10, b=40, out=d0
PASS at time 1040000:  SUB correct. a=10, b=80, out=90
PASS at time 1050000:  SUB correct. a=20, b=01, out=1f
PASS at time 1060000:  SUB correct. a=20, b=02, out=1e
PASS at time 1070000:  SUB correct. a=20, b=04, out=1c
PASS at time 1080000:  SUB correct. a=20, b=08, out=18
PASS at time 1090000:  SUB correct. a=20, b=10, out=10
PASS at time 1100000:  SUB correct. a=20, b=20, out=00
PASS at time 1110000:  SUB correct. a=20, b=40, out=e0
PASS at time 1120000:  SUB correct. a=20, b=80, out=a0
PASS at time 1130000:  SUB correct. a=40, b=01, out=3f
PASS at time 1140000:  SUB correct. a=40, b=02, out=3e
PASS at time 1150000:  SUB correct. a=40, b=04, out=3c
PASS at time 1160000:  SUB correct. a=40, b=08, out=38
PASS at time 1170000:  SUB correct. a=40, b=10, out=30
PASS at time 1180000:  SUB correct. a=40, b=20, out=20
PASS at time 1190000:  SUB correct. a=40, b=40, out=00
PASS at time 1200000:  SUB correct. a=40, b=80, out=c0
PASS at time 1210000:  SUB correct. a=80, b=01, out=7f
PASS at time 1220000:  SUB correct. a=80, b=02, out=7e
PASS at time 1230000:  SUB correct. a=80, b=04, out=7c
PASS at time 1240000:  SUB correct. a=80, b=08, out=78
PASS at time 1250000:  SUB correct. a=80, b=10, out=70
PASS at time 1260000:  SUB correct. a=80, b=20, out=60
PASS at time 1270000:  SUB correct. a=80, b=40, out=40
PASS at time 1280000:  SUB correct. a=80, b=80, out=00
PASS at time 1290000:  AND correct. a=00, b=00, out=00
PASS at time 1300000:  AND correct. a=00, b=33, out=00
PASS at time 1310000:  AND correct. a=00, b=66, out=00
PASS at time 1320000:  AND correct. a=00, b=99, out=00
PASS at time 1330000:  AND correct. a=00, b=cc, out=00
PASS at time 1340000:  AND correct. a=00, b=ff, out=00
PASS at time 1350000:  AND correct. a=11, b=00, out=00
PASS at time 1360000:  AND correct. a=11, b=33, out=11
PASS at time 1370000:  AND correct. a=11, b=66, out=00
PASS at time 1380000:  AND correct. a=11, b=99, out=11
PASS at time 1390000:  AND correct. a=11, b=cc, out=00
PASS at time 1400000:  AND correct. a=11, b=ff, out=11
PASS at time 1410000:  AND correct. a=22, b=00, out=00
PASS at time 1420000:  AND correct. a=22, b=33, out=22
PASS at time 1430000:  AND correct. a=22, b=66, out=22
PASS at time 1440000:  AND correct. a=22, b=99, out=00
PASS at time 1450000:  AND correct. a=22, b=cc, out=00
PASS at time 1460000:  AND correct. a=22, b=ff, out=22
PASS at time 1470000:  AND correct. a=33, b=00, out=00
PASS at time 1480000:  AND correct. a=33, b=33, out=33
PASS at time 1490000:  AND correct. a=33, b=66, out=22
PASS at time 1500000:  AND correct. a=33, b=99, out=11
PASS at time 1510000:  AND correct. a=33, b=cc, out=00
PASS at time 1520000:  AND correct. a=33, b=ff, out=33
PASS at time 1530000:  AND correct. a=44, b=00, out=00
PASS at time 1540000:  AND correct. a=44, b=33, out=00
PASS at time 1550000:  AND correct. a=44, b=66, out=44
PASS at time 1560000:  AND correct. a=44, b=99, out=00
PASS at time 1570000:  AND correct. a=44, b=cc, out=44
PASS at time 1580000:  AND correct. a=44, b=ff, out=44
PASS at time 1590000:  AND correct. a=55, b=00, out=00
PASS at time 1600000:  AND correct. a=55, b=33, out=11
PASS at time 1610000:  AND correct. a=55, b=66, out=44
PASS at time 1620000:  AND correct. a=55, b=99, out=11
PASS at time 1630000:  AND correct. a=55, b=cc, out=44
PASS at time 1640000:  AND correct. a=55, b=ff, out=55
PASS at time 1650000:  AND correct. a=66, b=00, out=00
PASS at time 1660000:  AND correct. a=66, b=33, out=22
PASS at time 1670000:  AND correct. a=66, b=66, out=66
PASS at time 1680000:  AND correct. a=66, b=99, out=00
PASS at time 1690000:  AND correct. a=66, b=cc, out=44
PASS at time 1700000:  AND correct. a=66, b=ff, out=66
PASS at time 1710000:  AND correct. a=77, b=00, out=00
PASS at time 1720000:  AND correct. a=77, b=33, out=33
PASS at time 1730000:  AND correct. a=77, b=66, out=66
PASS at time 1740000:  AND correct. a=77, b=99, out=11
PASS at time 1750000:  AND correct. a=77, b=cc, out=44
PASS at time 1760000:  AND correct. a=77, b=ff, out=77
PASS at time 1770000:  AND correct. a=88, b=00, out=00
PASS at time 1780000:  AND correct. a=88, b=33, out=00
PASS at time 1790000:  AND correct. a=88, b=66, out=00
PASS at time 1800000:  AND correct. a=88, b=99, out=88
PASS at time 1810000:  AND correct. a=88, b=cc, out=88
PASS at time 1820000:  AND correct. a=88, b=ff, out=88
PASS at time 1830000:  AND correct. a=99, b=00, out=00
PASS at time 1840000:  AND correct. a=99, b=33, out=11
PASS at time 1850000:  AND correct. a=99, b=66, out=00
PASS at time 1860000:  AND correct. a=99, b=99, out=99
PASS at time 1870000:  AND correct. a=99, b=cc, out=88
PASS at time 1880000:  AND correct. a=99, b=ff, out=99
PASS at time 1890000:  AND correct. a=aa, b=00, out=00
PASS at time 1900000:  AND correct. a=aa, b=33, out=22
PASS at time 1910000:  AND correct. a=aa, b=66, out=22
PASS at time 1920000:  AND correct. a=aa, b=99, out=88
PASS at time 1930000:  AND correct. a=aa, b=cc, out=88
PASS at time 1940000:  AND correct. a=aa, b=ff, out=aa
PASS at time 1950000:  AND correct. a=bb, b=00, out=00
PASS at time 1960000:  AND correct. a=bb, b=33, out=33
PASS at time 1970000:  AND correct. a=bb, b=66, out=22
PASS at time 1980000:  AND correct. a=bb, b=99, out=99
PASS at time 1990000:  AND correct. a=bb, b=cc, out=88
PASS at time 2000000:  AND correct. a=bb, b=ff, out=bb
PASS at time 2010000:  AND correct. a=cc, b=00, out=00
PASS at time 2020000:  AND correct. a=cc, b=33, out=00
PASS at time 2030000:  AND correct. a=cc, b=66, out=44
PASS at time 2040000:  AND correct. a=cc, b=99, out=88
PASS at time 2050000:  AND correct. a=cc, b=cc, out=cc
PASS at time 2060000:  AND correct. a=cc, b=ff, out=cc
PASS at time 2070000:  AND correct. a=dd, b=00, out=00
PASS at time 2080000:  AND correct. a=dd, b=33, out=11
PASS at time 2090000:  AND correct. a=dd, b=66, out=44
PASS at time 2100000:  AND correct. a=dd, b=99, out=99
PASS at time 2110000:  AND correct. a=dd, b=cc, out=cc
PASS at time 2120000:  AND correct. a=dd, b=ff, out=dd
PASS at time 2130000:  AND correct. a=ee, b=00, out=00
PASS at time 2140000:  AND correct. a=ee, b=33, out=22
PASS at time 2150000:  AND correct. a=ee, b=66, out=66
PASS at time 2160000:  AND correct. a=ee, b=99, out=88
PASS at time 2170000:  AND correct. a=ee, b=cc, out=cc
PASS at time 2180000:  AND correct. a=ee, b=ff, out=ee
PASS at time 2190000:  AND correct. a=ff, b=00, out=00
PASS at time 2200000:  AND correct. a=ff, b=33, out=33
PASS at time 2210000:  AND correct. a=ff, b=66, out=66
PASS at time 2220000:  AND correct. a=ff, b=99, out=99
PASS at time 2230000:  AND correct. a=ff, b=cc, out=cc
PASS at time 2240000:  AND correct. a=ff, b=ff, out=ff
PASS at time 2250000:  OR  correct. a=00, b=00, out=00
PASS at time 2260000:  OR  correct. a=00, b=33, out=33
PASS at time 2270000:  OR  correct. a=00, b=66, out=66
PASS at time 2280000:  OR  correct. a=00, b=99, out=99
PASS at time 2290000:  OR  correct. a=00, b=cc, out=cc
PASS at time 2300000:  OR  correct. a=00, b=ff, out=ff
PASS at time 2310000:  OR  correct. a=11, b=00, out=11
PASS at time 2320000:  OR  correct. a=11, b=33, out=33
PASS at time 2330000:  OR  correct. a=11, b=66, out=77
PASS at time 2340000:  OR  correct. a=11, b=99, out=99
PASS at time 2350000:  OR  correct. a=11, b=cc, out=dd
PASS at time 2360000:  OR  correct. a=11, b=ff, out=ff
PASS at time 2370000:  OR  correct. a=22, b=00, out=22
PASS at time 2380000:  OR  correct. a=22, b=33, out=33
PASS at time 2390000:  OR  correct. a=22, b=66, out=66
PASS at time 2400000:  OR  correct. a=22, b=99, out=bb
PASS at time 2410000:  OR  correct. a=22, b=cc, out=ee
PASS at time 2420000:  OR  correct. a=22, b=ff, out=ff
PASS at time 2430000:  OR  correct. a=33, b=00, out=33
PASS at time 2440000:  OR  correct. a=33, b=33, out=33
PASS at time 2450000:  OR  correct. a=33, b=66, out=77
PASS at time 2460000:  OR  correct. a=33, b=99, out=bb
PASS at time 2470000:  OR  correct. a=33, b=cc, out=ff
PASS at time 2480000:  OR  correct. a=33, b=ff, out=ff
PASS at time 2490000:  OR  correct. a=44, b=00, out=44
PASS at time 2500000:  OR  correct. a=44, b=33, out=77
PASS at time 2510000:  OR  correct. a=44, b=66, out=66
PASS at time 2520000:  OR  correct. a=44, b=99, out=dd
PASS at time 2530000:  OR  correct. a=44, b=cc, out=cc
PASS at time 2540000:  OR  correct. a=44, b=ff, out=ff
PASS at time 2550000:  OR  correct. a=55, b=00, out=55
PASS at time 2560000:  OR  correct. a=55, b=33, out=77
PASS at time 2570000:  OR  correct. a=55, b=66, out=77
PASS at time 2580000:  OR  correct. a=55, b=99, out=dd
PASS at time 2590000:  OR  correct. a=55, b=cc, out=dd
PASS at time 2600000:  OR  correct. a=55, b=ff, out=ff
PASS at time 2610000:  OR  correct. a=66, b=00, out=66
PASS at time 2620000:  OR  correct. a=66, b=33, out=77
PASS at time 2630000:  OR  correct. a=66, b=66, out=66
PASS at time 2640000:  OR  correct. a=66, b=99, out=ff
PASS at time 2650000:  OR  correct. a=66, b=cc, out=ee
PASS at time 2660000:  OR  correct. a=66, b=ff, out=ff
PASS at time 2670000:  OR  correct. a=77, b=00, out=77
PASS at time 2680000:  OR  correct. a=77, b=33, out=77
PASS at time 2690000:  OR  correct. a=77, b=66, out=77
PASS at time 2700000:  OR  correct. a=77, b=99, out=ff
PASS at time 2710000:  OR  correct. a=77, b=cc, out=ff
PASS at time 2720000:  OR  correct. a=77, b=ff, out=ff
PASS at time 2730000:  OR  correct. a=88, b=00, out=88
PASS at time 2740000:  OR  correct. a=88, b=33, out=bb
PASS at time 2750000:  OR  correct. a=88, b=66, out=ee
PASS at time 2760000:  OR  correct. a=88, b=99, out=99
PASS at time 2770000:  OR  correct. a=88, b=cc, out=cc
PASS at time 2780000:  OR  correct. a=88, b=ff, out=ff
PASS at time 2790000:  OR  correct. a=99, b=00, out=99
PASS at time 2800000:  OR  correct. a=99, b=33, out=bb
PASS at time 2810000:  OR  correct. a=99, b=66, out=ff
PASS at time 2820000:  OR  correct. a=99, b=99, out=99
PASS at time 2830000:  OR  correct. a=99, b=cc, out=dd
PASS at time 2840000:  OR  correct. a=99, b=ff, out=ff
PASS at time 2850000:  OR  correct. a=aa, b=00, out=aa
PASS at time 2860000:  OR  correct. a=aa, b=33, out=bb
PASS at time 2870000:  OR  correct. a=aa, b=66, out=ee
PASS at time 2880000:  OR  correct. a=aa, b=99, out=bb
PASS at time 2890000:  OR  correct. a=aa, b=cc, out=ee
PASS at time 2900000:  OR  correct. a=aa, b=ff, out=ff
PASS at time 2910000:  OR  correct. a=bb, b=00, out=bb
PASS at time 2920000:  OR  correct. a=bb, b=33, out=bb
PASS at time 2930000:  OR  correct. a=bb, b=66, out=ff
PASS at time 2940000:  OR  correct. a=bb, b=99, out=bb
PASS at time 2950000:  OR  correct. a=bb, b=cc, out=ff
PASS at time 2960000:  OR  correct. a=bb, b=ff, out=ff
PASS at time 2970000:  OR  correct. a=cc, b=00, out=cc
PASS at time 2980000:  OR  correct. a=cc, b=33, out=ff
PASS at time 2990000:  OR  correct. a=cc, b=66, out=ee
PASS at time 3000000:  OR  correct. a=cc, b=99, out=dd
PASS at time 3010000:  OR  correct. a=cc, b=cc, out=cc
PASS at time 3020000:  OR  correct. a=cc, b=ff, out=ff
PASS at time 3030000:  OR  correct. a=dd, b=00, out=dd
PASS at time 3040000:  OR  correct. a=dd, b=33, out=ff
PASS at time 3050000:  OR  correct. a=dd, b=66, out=ff
PASS at time 3060000:  OR  correct. a=dd, b=99, out=dd
PASS at time 3070000:  OR  correct. a=dd, b=cc, out=dd
PASS at time 3080000:  OR  correct. a=dd, b=ff, out=ff
PASS at time 3090000:  OR  correct. a=ee, b=00, out=ee
PASS at time 3100000:  OR  correct. a=ee, b=33, out=ff
PASS at time 3110000:  OR  correct. a=ee, b=66, out=ee
PASS at time 3120000:  OR  correct. a=ee, b=99, out=ff
PASS at time 3130000:  OR  correct. a=ee, b=cc, out=ee
PASS at time 3140000:  OR  correct. a=ee, b=ff, out=ff
PASS at time 3150000:  OR  correct. a=ff, b=00, out=ff
PASS at time 3160000:  OR  correct. a=ff, b=33, out=ff
PASS at time 3170000:  OR  correct. a=ff, b=66, out=ff
PASS at time 3180000:  OR  correct. a=ff, b=99, out=ff
PASS at time 3190000:  OR  correct. a=ff, b=cc, out=ff
PASS at time 3200000:  OR  correct. a=ff, b=ff, out=ff
PASS at time 3210000:  OR  correct. a=00, b=00, out=00
PASS at time 3220000:  OR  correct. a=00, b=33, out=33
PASS at time 3230000:  OR  correct. a=00, b=66, out=66
PASS at time 3240000:  OR  correct. a=00, b=99, out=99
PASS at time 3250000:  OR  correct. a=00, b=cc, out=cc
PASS at time 3260000:  OR  correct. a=00, b=ff, out=ff
PASS at time 3270000:  OR  correct. a=11, b=00, out=11
PASS at time 3280000:  OR  correct. a=11, b=33, out=33
PASS at time 3290000:  OR  correct. a=11, b=66, out=77
PASS at time 3300000:  OR  correct. a=11, b=99, out=99
PASS at time 3310000:  OR  correct. a=11, b=cc, out=dd
PASS at time 3320000:  OR  correct. a=11, b=ff, out=ff
PASS at time 3330000:  OR  correct. a=22, b=00, out=22
PASS at time 3340000:  OR  correct. a=22, b=33, out=33
PASS at time 3350000:  OR  correct. a=22, b=66, out=66
PASS at time 3360000:  OR  correct. a=22, b=99, out=bb
PASS at time 3370000:  OR  correct. a=22, b=cc, out=ee
PASS at time 3380000:  OR  correct. a=22, b=ff, out=ff
PASS at time 3390000:  OR  correct. a=33, b=00, out=33
PASS at time 3400000:  OR  correct. a=33, b=33, out=33
PASS at time 3410000:  OR  correct. a=33, b=66, out=77
PASS at time 3420000:  OR  correct. a=33, b=99, out=bb
PASS at time 3430000:  OR  correct. a=33, b=cc, out=ff
PASS at time 3440000:  OR  correct. a=33, b=ff, out=ff
PASS at time 3450000:  OR  correct. a=44, b=00, out=44
PASS at time 3460000:  OR  correct. a=44, b=33, out=77
PASS at time 3470000:  OR  correct. a=44, b=66, out=66
PASS at time 3480000:  OR  correct. a=44, b=99, out=dd
PASS at time 3490000:  OR  correct. a=44, b=cc, out=cc
PASS at time 3500000:  OR  correct. a=44, b=ff, out=ff
PASS at time 3510000:  OR  correct. a=55, b=00, out=55
PASS at time 3520000:  OR  correct. a=55, b=33, out=77
PASS at time 3530000:  OR  correct. a=55, b=66, out=77
PASS at time 3540000:  OR  correct. a=55, b=99, out=dd
PASS at time 3550000:  OR  correct. a=55, b=cc, out=dd
PASS at time 3560000:  OR  correct. a=55, b=ff, out=ff
PASS at time 3570000:  OR  correct. a=66, b=00, out=66
PASS at time 3580000:  OR  correct. a=66, b=33, out=77
PASS at time 3590000:  OR  correct. a=66, b=66, out=66
PASS at time 3600000:  OR  correct. a=66, b=99, out=ff
PASS at time 3610000:  OR  correct. a=66, b=cc, out=ee
PASS at time 3620000:  OR  correct. a=66, b=ff, out=ff
PASS at time 3630000:  OR  correct. a=77, b=00, out=77
PASS at time 3640000:  OR  correct. a=77, b=33, out=77
PASS at time 3650000:  OR  correct. a=77, b=66, out=77
PASS at time 3660000:  OR  correct. a=77, b=99, out=ff
PASS at time 3670000:  OR  correct. a=77, b=cc, out=ff
PASS at time 3680000:  OR  correct. a=77, b=ff, out=ff
PASS at time 3690000:  OR  correct. a=88, b=00, out=88
PASS at time 3700000:  OR  correct. a=88, b=33, out=bb
PASS at time 3710000:  OR  correct. a=88, b=66, out=ee
PASS at time 3720000:  OR  correct. a=88, b=99, out=99
PASS at time 3730000:  OR  correct. a=88, b=cc, out=cc
PASS at time 3740000:  OR  correct. a=88, b=ff, out=ff
PASS at time 3750000:  OR  correct. a=99, b=00, out=99
PASS at time 3760000:  OR  correct. a=99, b=33, out=bb
PASS at time 3770000:  OR  correct. a=99, b=66, out=ff
PASS at time 3780000:  OR  correct. a=99, b=99, out=99
PASS at time 3790000:  OR  correct. a=99, b=cc, out=dd
PASS at time 3800000:  OR  correct. a=99, b=ff, out=ff
PASS at time 3810000:  OR  correct. a=aa, b=00, out=aa
PASS at time 3820000:  OR  correct. a=aa, b=33, out=bb
PASS at time 3830000:  OR  correct. a=aa, b=66, out=ee
PASS at time 3840000:  OR  correct. a=aa, b=99, out=bb
PASS at time 3850000:  OR  correct. a=aa, b=cc, out=ee
PASS at time 3860000:  OR  correct. a=aa, b=ff, out=ff
PASS at time 3870000:  OR  correct. a=bb, b=00, out=bb
PASS at time 3880000:  OR  correct. a=bb, b=33, out=bb
PASS at time 3890000:  OR  correct. a=bb, b=66, out=ff
PASS at time 3900000:  OR  correct. a=bb, b=99, out=bb
PASS at time 3910000:  OR  correct. a=bb, b=cc, out=ff
PASS at time 3920000:  OR  correct. a=bb, b=ff, out=ff
PASS at time 3930000:  OR  correct. a=cc, b=00, out=cc
PASS at time 3940000:  OR  correct. a=cc, b=33, out=ff
PASS at time 3950000:  OR  correct. a=cc, b=66, out=ee
PASS at time 3960000:  OR  correct. a=cc, b=99, out=dd
PASS at time 3970000:  OR  correct. a=cc, b=cc, out=cc
PASS at time 3980000:  OR  correct. a=cc, b=ff, out=ff
PASS at time 3990000:  OR  correct. a=dd, b=00, out=dd
PASS at time 4000000:  OR  correct. a=dd, b=33, out=ff
PASS at time 4010000:  OR  correct. a=dd, b=66, out=ff
PASS at time 4020000:  OR  correct. a=dd, b=99, out=dd
PASS at time 4030000:  OR  correct. a=dd, b=cc, out=dd
PASS at time 4040000:  OR  correct. a=dd, b=ff, out=ff
PASS at time 4050000:  OR  correct. a=ee, b=00, out=ee
PASS at time 4060000:  OR  correct. a=ee, b=33, out=ff
PASS at time 4070000:  OR  correct. a=ee, b=66, out=ee
PASS at time 4080000:  OR  correct. a=ee, b=99, out=ff
PASS at time 4090000:  OR  correct. a=ee, b=cc, out=ee
PASS at time 4100000:  OR  correct. a=ee, b=ff, out=ff
PASS at time 4110000:  OR  correct. a=ff, b=00, out=ff
PASS at time 4120000:  OR  correct. a=ff, b=33, out=ff
PASS at time 4130000:  OR  correct. a=ff, b=66, out=ff
PASS at time 4140000:  OR  correct. a=ff, b=99, out=ff
PASS at time 4150000:  OR  correct. a=ff, b=cc, out=ff
PASS at time 4160000:  OR  correct. a=ff, b=ff, out=ff
PASS at time 4170000:  OR  correct. a=00, b=ff, out=ff
PASS at time 4180000:  OR  correct. a=11, b=ff, out=ff
PASS at time 4190000:  OR  correct. a=22, b=ff, out=ff
PASS at time 4200000:  OR  correct. a=33, b=ff, out=ff
PASS at time 4210000:  OR  correct. a=44, b=ff, out=ff
PASS at time 4220000:  OR  correct. a=55, b=ff, out=ff
PASS at time 4230000:  OR  correct. a=66, b=ff, out=ff
PASS at time 4240000:  OR  correct. a=77, b=ff, out=ff
PASS at time 4250000:  OR  correct. a=88, b=ff, out=ff
PASS at time 4260000:  OR  correct. a=99, b=ff, out=ff
PASS at time 4270000:  OR  correct. a=aa, b=ff, out=ff
PASS at time 4280000:  OR  correct. a=bb, b=ff, out=ff
PASS at time 4290000:  OR  correct. a=cc, b=ff, out=ff
PASS at time 4300000:  OR  correct. a=dd, b=ff, out=ff
PASS at time 4310000:  OR  correct. a=ee, b=ff, out=ff
PASS at time 4320000:  OR  correct. a=ff, b=ff, out=ff
PASS at time 4330000:  SHL correct. a=00, b=ff, out=00
PASS at time 4340000:  SHL correct. a=11, b=ff, out=22
PASS at time 4350000:  SHL correct. a=22, b=ff, out=44
PASS at time 4360000:  SHL correct. a=33, b=ff, out=66
PASS at time 4370000:  SHL correct. a=44, b=ff, out=88
PASS at time 4380000:  SHL correct. a=55, b=ff, out=aa
PASS at time 4390000:  SHL correct. a=66, b=ff, out=cc
PASS at time 4400000:  SHL correct. a=77, b=ff, out=ee
PASS at time 4410000:  SHL correct. a=88, b=ff, out=10
PASS at time 4420000:  SHL correct. a=99, b=ff, out=32
PASS at time 4430000:  SHL correct. a=aa, b=ff, out=54
PASS at time 4440000:  SHL correct. a=bb, b=ff, out=76
PASS at time 4450000:  SHL correct. a=cc, b=ff, out=98
PASS at time 4460000:  SHL correct. a=dd, b=ff, out=ba
PASS at time 4470000:  SHL correct. a=ee, b=ff, out=dc
PASS at time 4480000:  SHL correct. a=ff, b=ff, out=fe
PASS at time 4490000:  SHR correct. a=00, b=ff, out=00
PASS at time 4500000:  SHR correct. a=11, b=ff, out=08
PASS at time 4510000:  SHR correct. a=22, b=ff, out=11
PASS at time 4520000:  SHR correct. a=33, b=ff, out=19
PASS at time 4530000:  SHR correct. a=44, b=ff, out=22
PASS at time 4540000:  SHR correct. a=55, b=ff, out=2a
PASS at time 4550000:  SHR correct. a=66, b=ff, out=33
PASS at time 4560000:  SHR correct. a=77, b=ff, out=3b
PASS at time 4570000:  SHR correct. a=88, b=ff, out=44
PASS at time 4580000:  SHR correct. a=99, b=ff, out=4c
PASS at time 4590000:  SHR correct. a=aa, b=ff, out=55
PASS at time 4600000:  SHR correct. a=bb, b=ff, out=5d
PASS at time 4610000:  SHR correct. a=cc, b=ff, out=66
PASS at time 4620000:  SHR correct. a=dd, b=ff, out=6e
PASS at time 4630000:  SHR correct. a=ee, b=ff, out=77
PASS at time 4640000:  SHR correct. a=ff, b=ff, out=7f
